"s_no";"Block";"Floor";"Classroom_no";"Hall_type";"Computers";"Speakers";"Projectors";"Student Desk";"Capacity"
"66";"Old AGRI Block-AS";"I";"AG24";"Seminar Hall";"Yes";"No";"Yes";"30";"60"
"67";"Old AGRI Block-AS";"I";"AG25";"classroom";"Yes";"No";"Yes";"30";"60"
"68";"Old AGRI Block-AS";"I";"AG26";"classroom";"Yes";"No";"Yes";"30";"60"
"69";"Old AGRI Block-AS";"II";"AG31";"classroom";"Yes";"No";"Yes";"30";"60"
"70";"Old AGRI Block-AS";"II";"AG32";"classroom";"Yes";"No";"Yes";"60";"120"
"71";"Old AGRI Block-AS";"II";"AG33";"classroom";"Yes";"No";"Yes";"30";"60"
"72";"Old AGRI Block-AS";"II";"AG34";"classroom";"Yes";"No";"Yes";"30";"60"
"73";"Old AGRI Block-AS";"II";"AG35";"classroom";"Yes";"No";"Yes";"30";"60"
"74";"EEE Block-IB";"I";"EE21";"classroom";"Yes";"Yes";"Yes";"30";"60"
"75";"EEE Block-IB";"I";"EE22";"classroom";"Yes";"Yes";"Yes";"30";"60"
"76";"EEE Block-IB";"I";"EE23";"classroom";"Yes";"Yes";"Yes";"30";"60"
"77";"EEE Block-IB";"I";"EE24";"classroom";"Yes";"Yes";"Yes";"30";"60"
"78";"EEE Block-IB";"I";"EE25";"classroom";"Yes";"Yes";"Yes";"30";"60"
"79";"EEE Block-IB";"I";"EE26";"Seminar Hall";"Yes";"Yes";"Yes";"30";"60"
"80";"EEE Block-IB";"II";"EE31";"classroom";"Yes";"Yes";"Yes";"30";"60"
"81";"EEE Block-IB";"II";"EE32";"classroom";"Yes";"Yes";"Yes";"60";"120"
"82";"EEE Block-IB";"II";"EE33";"classroom";"Yes";"Yes";"Yes";"30";"60"
"83";"EEE Block-IB";"II";"EE34";"classroom";"Yes";"Yes";"Yes";"30";"60"
"84";"EEE Block-IB";"II";"EE35";"classroom";"Yes";"Yes";"Yes";"30";"60"
"85";"CT & AIDS Block-IB";"I";"CT21";"classroom";"Yes";"Yes";"Yes";"30";"60"
"86";"CT & AIDS Block-IB";"I";"CT22";"classroom";"Yes";"Yes";"Yes";"30";"60"
"87";"CT & AIDS Block-IB";"I";"CT23";"Seminar Hall";"Yes";"Yes";"Yes";"30";"60"
"88";"CT & AIDS Block-IB";"I";"CT25";"classroom";"Yes";"Yes";"Yes";"30";"60"
"89";"CT & AIDS Block-IB";"I";"CT26";"classroom";"Yes";"Yes";"Yes";"30";"60"
"90";"CT & AIDS Block-IB";"II";"AIDS31";"classroom";"Yes";"Yes";"Yes";"30";"60"
"91";"CT & AIDS Block-IB";"II";"AIDS33";"classroom";"Yes";"Yes";"Yes";"30";"60"
"92";"CT & AIDS Block-IB";"II";"AIDS34";"Seminar Hall";"Yes";"Yes";"Yes";"30";"60"
"93";"CT & AIDS Block-IB";"II";"AIDS35";"classroom";"Yes";"Yes";"Yes";"30";"60"
"94";"IB Block-IB";"0";"IB102";"classroom";"Yes";"Yes";"Yes";"20";"40"
"95";"IB Block-IB";"0";"IB103";"classroom";"Yes";"Yes";"Yes";"20";"40"
"96";"IB Block-IB";"0";"IB104";"classroom";"Yes";"Yes";"Yes";"20";"40"
"97";"IB Block-IB";"0";"IB105";"classroom";"Yes";"Yes";"Yes";"30";"60"
"98";"IB Block-IB";"0";"IB106";"classroom";"Yes";"Yes";"Yes";"30";"60"
"99";"IB Block-IB";"0";"IB107";"classroom";"Yes";"Yes";"Yes";"30";"60"
"100";"IB Block-IB";"0";"IB108";"classroom";"Yes";"Yes";"Yes";"30";"60"
"101";"IB Block-IB";"0";"IB111";"classroom";"Yes";"Yes";"Yes";"30";"60"
"102";"IB Block-IB";"0";"IB112";"classroom";"Yes";"Yes";"Yes";"30";"60"
"103";"IB Block-IB";"II";"IB201";"classroom";"Yes";"Yes";"Yes";"20";"40"
"104";"IB Block-IB";"II";"IB202";"classroom";"Yes";"Yes";"Yes";"20";"40"
"105";"IB Block-IB";"II";"IB203";"Seminar Hall";"Yes";"Yes";"Yes";"30";"60"
"106";"IB Block-IB";"II";"IB204";"classroom";"Yes";"Yes";"Yes";"30";"60"
"107";"IB Block-IB";"II";"IB205";"classroom";"Yes";"Yes";"Yes";"20";"40"
"108";"IB Block-IB";"II";"IB206";"classroom";"Yes";"Yes";"Yes";"20";"40"
"109";"IB Block-IB";"II";"IB207";"classroom";"Yes";"Yes";"Yes";"40";"80"
"110";"IB Block-IB";"II";"IB208";"classroom";"Yes";"Yes";"Yes";"40";"80"
"111";"IB Block-IB";"II";"IB209";"classroom";"Yes";"Yes";"Yes";"40";"80"
"112";"IB Block-IB";"II";"IB210";"classroom";"Yes";"Yes";"Yes";"40";"80"
"113";"IB Block-IB";"II";"IB211";"classroom";"Yes";"Yes";"Yes";"40";"80"
"114";"IB Block-IB";"II";"IB212";"classroom";"Yes";"Yes";"Yes";"40";"80"
"118";"IB Block-IB";"1";"Vedhanayagam";"Auditorium";"no";"yes";"yes";"0";"300"
"119";"AS Block-AS";"0";"BIT AUDITORI";"Auditorium";"no";"yes";"yes";"0";"500"
